movie_id,title,cast,crew
19995,Avatar,"[{""cast_id"": 242, ""character"": ""Jake Sully"", ""name"": ""Sam Worthington""}, {""cast_id"": 3, ""character"": ""Neytiri"", ""name"": ""Zoe Saldana""}, {""cast_id"": 4, ""character"": ""Dr. Grace Augustine"", ""name"": ""Sigourney Weaver""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}]"
285,Pirates of the Caribbean: At World's End,"[{""character"": ""Captain Jack Sparrow"", ""name"": ""Johnny Depp""}, {""character"": ""Will Turner"", ""name"": ""Orlando Bloom""}, {""character"": ""Elizabeth Swann"", ""name"": ""Keira Knightley""}]","[{""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
206647,Spectre,"[{""character"": ""James Bond"", ""name"": ""Daniel Craig""}, {""character"": ""Blofeld"", ""name"": ""Christoph Waltz""}, {""character"": ""Madeleine Swann"", ""name"": ""Lea Seydoux""}]","[{""job"": ""Director"", ""name"": ""Sam Mendes""}]"
49026,The Dark Knight Rises,"[{""character"": ""Bruce Wayne / Batman"", ""name"": ""Christian Bale""}, {""character"": ""Bane"", ""name"": ""Tom Hardy""}, {""character"": ""Selina Kyle / Catwoman"", ""name"": ""Anne Hathaway""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
49529,John Carter,"[{""character"": ""John Carter"", ""name"": ""Taylor Kitsch""}, {""character"": ""Dejah Thoris"", ""name"": ""Lynn Collins""}, {""character"": ""Tars Tarkas"", ""name"": ""Willem Dafoe""}]","[{""job"": ""Director"", ""name"": ""Andrew Stanton""}]"
157336,Interstellar,"[{""character"": ""Cooper"", ""name"": ""Matthew McConaughey""}, {""character"": ""Brand"", ""name"": ""Anne Hathaway""}, {""character"": ""Murph"", ""name"": ""Jessica Chastain""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
27205,Inception,"[{""character"": ""Dom Cobb"", ""name"": ""Leonardo DiCaprio""}, {""character"": ""Arthur"", ""name"": ""Joseph Gordon-Levitt""}, {""character"": ""Ariadne"", ""name"": ""Elliot Page""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
24428,The Avengers,"[{""character"": ""Tony Stark / Iron Man"", ""name"": ""Robert Downey Jr.""}, {""character"": ""Steve Rogers / Captain America"", ""name"": ""Chris Evans""}, {""character"": ""Bruce Banner / The Hulk"", ""name"": ""Mark Ruffalo""}]","[{""job"": ""Director"", ""name"": ""Joss Whedon""}]"
155,The Dark Knight,"[{""character"": ""Bruce Wayne / Batman"", ""name"": ""Christian Bale""}, {""character"": ""Joker"", ""name"": ""Heath Ledger""}, {""character"": ""Harvey Dent"", ""name"": ""Aaron Eckhart""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
597,Titanic,"[{""character"": ""Jack Dawson"", ""name"": ""Leonardo DiCaprio""}, {""character"": ""Rose DeWitt Bukater"", ""name"": ""Kate Winslet""}, {""character"": ""Caledon Hockley"", ""name"": ""Billy Zane""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}]"
680,Pulp Fiction,"[{""character"": ""Vincent Vega"", ""name"": ""John Travolta""}, {""character"": ""Jules Winnfield"", ""name"": ""Samuel L. Jackson""}, {""character"": ""Mia Wallace"", ""name"": ""Uma Thurman""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}]"
13,Forrest Gump,"[{""character"": ""Forrest Gump"", ""name"": ""Tom Hanks""}, {""character"": ""Jenny Curran"", ""name"": ""Robin Wright""}, {""character"": ""Lieutenant Dan Taylor"", ""name"": ""Gary Sinise""}]","[{""job"": ""Director"", ""name"": ""Robert Zemeckis""}]"
278,The Shawshank Redemption,"[{""character"": ""Andy Dufresne"", ""name"": ""Tim Robbins""}, {""character"": ""Ellis Boyd 'Red' Redding"", ""name"": ""Morgan Freeman""}, {""character"": ""Warden Samuel Norton"", ""name"": ""Bob Gunton""}]","[{""job"": ""Director"", ""name"": ""Frank Darabont""}]"
603,The Matrix,"[{""character"": ""Neo"", ""name"": ""Keanu Reeves""}, {""character"": ""Morpheus"", ""name"": ""Laurence Fishburne""}, {""character"": ""Trinity"", ""name"": ""Carrie-Anne Moss""}]","[{""job"": ""Director"", ""name"": ""Lilly Wachowski""}]"
671,Harry Potter and the Philosopher's Stone,"[{""character"": ""Harry Potter"", ""name"": ""Daniel Radcliffe""}, {""character"": ""Ron Weasley"", ""name"": ""Rupert Grint""}, {""character"": ""Hermione Granger"", ""name"": ""Emma Watson""}]","[{""job"": ""Director"", ""name"": ""Chris Columbus""}]"
120,The Lord of the Rings: The Fellowship of the Ring,"[{""character"": ""Frodo Baggins"", ""name"": ""Elijah Wood""}, {""character"": ""Gandalf"", ""name"": ""Ian McKellen""}, {""character"": ""Aragorn"", ""name"": ""Viggo Mortensen""}]","[{""job"": ""Director"", ""name"": ""Peter Jackson""}]"
121,The Lord of the Rings: The Two Towers,"[{""character"": ""Frodo Baggins"", ""name"": ""Elijah Wood""}, {""character"": ""Gandalf"", ""name"": ""Ian McKellen""}, {""character"": ""Aragorn"", ""name"": ""Viggo Mortensen""}]","[{""job"": ""Director"", ""name"": ""Peter Jackson""}]"
122,The Lord of the Rings: The Return of the King,"[{""character"": ""Frodo Baggins"", ""name"": ""Elijah Wood""}, {""character"": ""Gandalf"", ""name"": ""Ian McKellen""}, {""character"": ""Aragorn"", ""name"": ""Viggo Mortensen""}]","[{""job"": ""Director"", ""name"": ""Peter Jackson""}]"
807,Seven,"[{""character"": ""Detective David Mills"", ""name"": ""Brad Pitt""}, {""character"": ""Detective William Somerset"", ""name"": ""Morgan Freeman""}, {""character"": ""Tracy Mills"", ""name"": ""Gwyneth Paltrow""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}]"
550,Fight Club,"[{""character"": ""The Narrator"", ""name"": ""Edward Norton""}, {""character"": ""Tyler Durden"", ""name"": ""Brad Pitt""}, {""character"": ""Marla Singer"", ""name"": ""Helena Bonham Carter""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}]"
77,Memento,"[{""character"": ""Leonard Shelby"", ""name"": ""Guy Pearce""}, {""character"": ""Natalie"", ""name"": ""Carrie-Anne Moss""}, {""character"": ""Teddy Gammell"", ""name"": ""Joe Pantoliano""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
11,Star Wars,"[{""character"": ""Luke Skywalker"", ""name"": ""Mark Hamill""}, {""character"": ""Han Solo"", ""name"": ""Harrison Ford""}, {""character"": ""Princess Leia Organa"", ""name"": ""Carrie Fisher""}]","[{""job"": ""Director"", ""name"": ""George Lucas""}]"
1891,The Empire Strikes Back,"[{""character"": ""Luke Skywalker"", ""name"": ""Mark Hamill""}, {""character"": ""Han Solo"", ""name"": ""Harrison Ford""}, {""character"": ""Princess Leia Organa"", ""name"": ""Carrie Fisher""}]","[{""job"": ""Director"", ""name"": ""Irvin Kershner""}]"
274,The Silence of the Lambs,"[{""character"": ""Clarice Starling"", ""name"": ""Jodie Foster""}, {""character"": ""Dr. Hannibal Lecter"", ""name"": ""Anthony Hopkins""}, {""character"": ""Jack Crawford"", ""name"": ""Scott Glenn""}]","[{""job"": ""Director"", ""name"": ""Jonathan Demme""}]"
238,The Godfather,"[{""character"": ""Don Vito Corleone"", ""name"": ""Marlon Brando""}, {""character"": ""Michael Corleone"", ""name"": ""Al Pacino""}, {""character"": ""Sonny Corleone"", ""name"": ""James Caan""}]","[{""job"": ""Director"", ""name"": ""Francis Ford Coppola""}]"
1726,Iron Man,"[{""character"": ""Tony Stark / Iron Man"", ""name"": ""Robert Downey Jr.""}, {""character"": ""Pepper Potts"", ""name"": ""Gwyneth Paltrow""}, {""character"": ""Obadiah Stane"", ""name"": ""Jeff Bridges""}]","[{""job"": ""Director"", ""name"": ""Jon Favreau""}]"
1578,Raging Bull,"[{""character"": ""Jake LaMotta"", ""name"": ""Robert De Niro""}, {""character"": ""Vickie LaMotta"", ""name"": ""Cathy Moriarty""}, {""character"": ""Joey LaMotta"", ""name"": ""Joe Pesci""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}]"
769,GoodFellas,"[{""character"": ""Henry Hill"", ""name"": ""Ray Liotta""}, {""character"": ""James Conway"", ""name"": ""Robert De Niro""}, {""character"": ""Tommy DeVito"", ""name"": ""Joe Pesci""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}]"
