budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
237000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.avatarmovie.com/,19995,"[{""id"": 1463, ""name"": ""culture clash""}, {""id"": 2964, ""name"": ""future""}, {""id"": 3386, ""name"": ""space war""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 3616, ""name"": ""alien""}]",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2009-12-10,2787965087,162.0,"[{""name"": ""English""}]",Released,Enter the World of Pandora.,Avatar,7.2,11800
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,285,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 726, ""name"": ""pirate""}, {""id"": 911, ""name"": ""sword play""}]",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and find Jack Sparrow.",139.082615,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2007-05-19,961000000,169.0,"[{""name"": ""English""}]",Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",http://www.007.com,206647,"[{""id"": 470, ""name"": ""spy""}, {""id"": 818, ""name"": ""secret agent""}, {""id"": 4289, ""name"": ""british secret service""}]",en,Spectre,A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive.,107.376788,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2015-10-26,880674609,148.0,"[{""name"": ""English""}]",Released,A Plan No One Escapes,Spectre,6.3,4466
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.thedarkknightrises.com/,49026,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""batman""}]",en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation.",112.819541,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2012-07-16,1084939099,165.0,"[{""name"": ""English""}]",Released,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",,49529,"[{""id"": 818, ""name"": ""mars""}, {""id"": 839, ""name"": ""alien""}, {""id"": 14544, ""name"": ""warrior""}, {""id"": 156095, ""name"": ""space travel""}]",en,John Carter,John Carter is a war-weary former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars).,43.926995,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2012-03-07,284139100,132.0,"[{""name"": ""English""}]",Released,"Lost in Our World, Found in Another.",John Carter,6.1,2124
165000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.interstellarmovie.net/,157336,"[{""id"": 830, ""name"": ""black hole""}, {""id"": 14544, ""name"": ""wormhole""}, {""id"": 156095, ""name"": ""space exploration""}, {""id"": 156096, ""name"": ""relativity""}, {""id"": 156097, ""name"": ""time dilation""}]",en,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2014-11-05,675120017,169.0,"[{""name"": ""English""}]",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://inceptionmovie.warnerbros.com/,27205,"[{""id"": 1790, ""name"": ""dream""}, {""id"": 1794, ""name"": ""subconscious""}, {""id"": 9917, ""name"": ""mind""}, {""id"": 156098, ""name"": ""heist""}]",en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life in exchange for a nearly impossible task: ""inception"".",167.58371,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2010-07-14,825532764,148.0,"[{""name"": ""English""}]",Released,Your mind is the scene of the crime.,Inception,8.1,13752
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",http://marvel.com/avengers_movie/,24428,"[{""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""marvel comic""}, {""id"": 156099, ""name"": ""alien invasion""}]",en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster.",144.448633,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2012-04-25,1519557910,143.0,"[{""name"": ""English""}]",Released,Some assembly required.,The Avengers,7.4,11776
185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",http://thedarkknight.warnerbros.com/dvdsite/,155,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""joker""}]",en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets.",187.322927,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",2008-07-16,1004558444,152.0,"[{""name"": ""English""}]",Released,Why So Serious?,The Dark Knight,8.2,12002
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.titanicmovie.com,597,"[{""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2964, ""name"": ""iceberg""}, {""id"": 3386, ""name"": ""tragic love""}]",en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic.",100.147796,"[{""name"": ""Studio""}]","[{""name"": ""USA""}]",1997-11-18,1845034188,194.0,"[{""name"": ""English""}]",Released,Nothing on Earth could come between them.,Titanic,7.5,7562
