track_id,track_name,artist_name,album_name,genre,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
t_0001,Starboy,"The Weeknd, Daft Punk",Starboy,pop,92,230453,0.679,0.587,7,-7.015,1,0.276,0.141,6e-06,0.137,0.486,186.003,4
t_0002,Blinding Lights,The Weeknd,After Hours,pop,96,200040,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.5e-05,0.0897,0.334,171.005,4
t_0003,Cornfield Chase,Hans Zimmer,Interstellar (OST),soundtrack,89,126900,0.185,0.38,4,-14.412,0,0.038,0.945,0.892,0.098,0.082,90.021,3
t_0004,Day One,Hans Zimmer,Interstellar (OST),soundtrack,83,199200,0.142,0.21,9,-17.512,1,0.041,0.962,0.914,0.112,0.045,84.12,4
t_0005,Time,Hans Zimmer,Inception (OST),soundtrack,90,275500,0.198,0.442,2,-11.2,1,0.034,0.781,0.865,0.104,0.115,75.05,4
t_0006,Midnight City,M83,"Hurry Up, We're Dreaming",indie,86,243266,0.52,0.71,11,-5.2,0,0.034,0.012,0.0005,0.125,0.31,105.0,4
t_0007,Clair de Lune,Claude Debussy,Suite bergamasque,classical,79,304000,0.28,0.045,8,-25.21,1,0.045,0.992,0.92,0.095,0.065,65.2,3
t_0008,Nocturne Op. 9 No. 2,Frederic Chopin,Nocturnes,classical,81,273000,0.31,0.052,3,-24.11,1,0.042,0.988,0.905,0.082,0.089,68.4,4
t_0009,Strobe,deadmau5,For Lack of a Better Name,edm,78,637000,0.612,0.72,5,-8.1,0,0.045,0.021,0.88,0.105,0.21,128.0,4
t_0010,Levels,Avicii,Levels,edm,85,198000,0.586,0.885,1,-3.12,0,0.034,0.045,0.001,0.312,0.64,126.0,4
t_0011,Coffee Breath,Lofi Fruits Music,Chill Beats,lo-fi,76,142000,0.712,0.28,0,-14.2,1,0.082,0.84,0.82,0.108,0.45,80.0,4
t_0012,Rainy Nights in Tokyo,Kuma Lofi,Tokyo Vibes,lo-fi,75,155000,0.68,0.24,7,-15.1,1,0.065,0.89,0.85,0.095,0.38,78.0,4
t_0013,Shape of You,Ed Sheeran,Divide,pop,93,233712,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
t_0014,Believer,Imagine Dragons,Evolve,rock,91,204347,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4
t_0015,Smells Like Teen Spirit,Nirvana,Nevermind,rock,89,301920,0.502,0.912,1,-4.556,1,0.0564,2.5e-05,0.000271,0.106,0.72,116.761,4
t_0016,Lose Yourself,Eminem,8 Mile Soundtrack,hip-hop,90,326466,0.692,0.744,2,-4.565,1,0.257,0.009,0.0,0.354,0.0596,171.375,4
t_0017,God's Plan,Drake,Scorpion,hip-hop,88,198973,0.754,0.449,7,-9.211,1,0.109,0.0332,8.3e-05,0.552,0.357,77.169,4
t_0018,Fly Me to the Moon,Frank Sinatra,It Might as Well Be Swing,jazz,82,147000,0.59,0.42,0,-11.0,1,0.045,0.74,1e-05,0.12,0.62,119.0,4
t_0019,Take Five,The Dave Brubeck Quartet,Time Out,jazz,79,324000,0.45,0.48,3,-12.5,0,0.052,0.62,0.74,0.098,0.51,174.0,5
t_0020,My Heart Will Go On,Celine Dion,Let's Talk About Love,pop,86,280000,0.42,0.49,4,-9.5,1,0.032,0.73,5e-05,0.11,0.28,99.0,4
t_0021,Crystal Neon,Taylor Swift,Taylor Swift - Silent Collection Vol. 1,pop,74,150130,0.7,0.734,5,-10.6,0,0.0444,0.542,0.0338,0.216,0.608,126.0,4
t_0022,Infinite Ascent,Taylor Swift,Taylor Swift - Silent Collection Vol. 1,pop,76,306762,0.61,0.538,1,-11.6,1,0.0644,0.526,0.045,0.149,0.423,105.2,4
